City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,bushehr,28.9684,50.8385,299.2,65,0,0.0,IR,1687481963
239,lake havasu city,34.4839,-114.3224,310.49,3,0,7.72,US,1687481792
240,tsiombe,-25.3,45.4833,291.48,84,87,3.71,MG,1687481964
241,valparaiso,-33.0393,-71.6273,288.15,73,100,2.47,CL,1687481906
242,gadzhiyevo,69.2551,33.3362,286.98,69,6,3.51,RU,1687481965
243,namdrik,5.5994,168.1028,301.6,77,3,7.72,MH,1687481965
244,eureka,40.8021,-124.1637,288.82,85,100,1.34,US,1687481966
245,lompoc,34.6391,-120.4579,294.83,71,75,5.81,US,1687481966
246,i-n-salah,27.1935,2.4607,307.16,9,1,3.99,DZ,1687481966
247,hit,33.6416,42.8251,303.57,22,0,2.8,IQ,1687481967
248,ust-nera,64.5667,143.2,295.09,32,74,2.69,RU,1687481967
249,mount pearl,47.5166,-52.7813,287.34,90,100,2.06,CA,1687481968
250,kudahuvadhoo,2.6708,72.8944,301.29,76,100,6.45,MV,1687481968
251,rancho palos verdes,33.7445,-118.387,295.37,74,0,3.13,US,1687481969
252,tolanaro,-25.0319,46.9987,293.19,88,20,3.09,MG,1687481969
253,inarajan village,13.2736,144.7484,303.93,83,100,8.08,GU,1687481970
254,howard springs,-12.497,131.047,301.94,52,100,1.97,AU,1687481970
255,morehead city,34.7229,-76.726,299.17,89,40,4.12,US,1687481971
256,sinabang,2.4803,96.3801,300.83,77,95,3.66,ID,1687481971
257,kapuskasing,49.4169,-82.4331,303.2,32,0,4.12,CA,1687481971
258,chulym,55.0997,80.9572,282.49,85,100,4.76,RU,1687481972
259,siwa oasis,29.2041,25.5195,298.03,50,0,2.99,EG,1687481972
260,mbeni,-11.5014,43.3775,295.57,68,0,6.19,KM,1687481973
261,saudarkrokur,65.7461,-19.6394,283.98,92,100,2.73,IS,1687481973
262,garbahaarrey,3.3289,42.2209,296.18,73,72,8.12,SO,1687481974
263,utrik,11.2278,169.8474,301.01,76,45,6.17,MH,1687481974
264,riohacha,11.5444,-72.9072,304.21,74,0,2.57,CO,1687481902
265,znamenskoye,57.1281,73.8282,278.5,89,71,2.57,RU,1687481975
266,inderbor,48.55,51.7833,287.66,48,76,2.96,KZ,1687481976
267,zaragoza,41.6561,-0.8773,294.83,60,0,4.63,ES,1687481976
268,koutiala,12.3917,-5.4642,301.45,63,98,3.8,ML,1687481977
269,atar,20.5169,-13.0499,307.64,18,75,7.06,MR,1687481977
270,aberystwyth,52.4155,-4.0829,286.88,92,100,2.17,GB,1687481978
271,nishinoomote,30.7333,131.0,298.46,88,75,5.66,JP,1687481978
272,santa rosa,14.3122,121.1114,303.76,78,19,3.42,PH,1687481873
273,hilo,19.7297,-155.09,301.62,70,0,3.6,US,1687481979
274,carnarvon,-24.8667,113.6333,288.96,64,58,3.39,AU,1687481980
275,mitu,1.1983,-70.1733,295.88,98,100,0.38,CO,1687481980
276,elko,41.0002,-115.5012,298.16,21,100,4.02,US,1687481981
277,sann,26.0418,68.1378,303.1,66,2,6.12,PK,1687481981
278,katabu,-4.9333,122.5167,300.47,76,90,3.0,ID,1687481982
279,brooks,50.5834,-111.8851,296.14,23,11,3.09,CA,1687481771
280,kununurra,-15.7667,128.7333,301.16,34,47,2.73,AU,1687481983
281,west valley,46.5921,-120.6051,300.63,25,40,2.06,US,1687481983
282,askoy,60.4092,5.226,286.46,96,75,1.54,NO,1687481984
283,vilyuchinsk,52.9306,158.4028,295.3,50,6,2.17,RU,1687481984
284,kerikeri,-35.2268,173.9474,289.46,83,92,2.19,NZ,1687481985
285,chibougamau,49.9168,-74.3659,294.94,68,100,1.54,CA,1687481985
286,talara,-4.5772,-81.2719,296.57,78,0,7.2,PE,1687481986
287,port saint john's,-31.6229,29.5448,286.41,75,6,2.8,ZA,1687481986
288,neryungri,56.6709,124.6491,289.04,60,18,3.68,RU,1687481987
289,lucea,18.451,-78.1736,302.07,82,100,4.92,JM,1687481987
290,nouadhibou,20.931,-17.0347,299.14,57,100,7.72,MR,1687481720
291,acapulco de juarez,16.8634,-99.8901,302.8,71,17,2.73,MX,1687481988
292,harper,4.375,-7.7169,298.37,80,55,3.78,LR,1687481989
293,poronaysk,49.2167,143.1167,288.26,76,100,3.22,RU,1687481989
294,geeste,52.6,7.2667,289.94,100,100,2.57,DE,1687481989
295,vila velha,-20.3297,-40.2925,292.56,79,0,1.03,BR,1687481990
296,al khaburah,23.9886,57.0984,304.26,80,5,3.37,OM,1687481990
297,broome,42.2506,-75.833,295.58,73,100,2.57,US,1687481991
298,calvinia,-31.4707,19.776,284.31,33,0,4.16,ZA,1687481991
299,kolokani,13.5728,-8.0339,303.69,50,4,4.06,ML,1687481992
300,palmer,42.1584,-72.3287,294.44,70,100,2.55,US,1687481992
301,la passe,45.5549,-0.8967,290.92,87,5,2.84,FR,1687481993
302,steinbach,50.1667,8.5667,292.19,77,75,6.17,DE,1687481993
303,esteli,13.0919,-86.3538,294.68,91,100,1.64,NI,1687481994
304,zubova polyana,54.0771,42.8372,283.8,96,100,2.99,RU,1687481994
305,kish,26.5578,54.0194,302.3,94,1,3.09,IR,1687481994
306,lebu,-37.6167,-73.65,286.08,93,100,3.82,CL,1687481886
307,miri,4.4148,114.0089,301.23,83,20,1.54,MY,1687481995
308,ruidoso,33.3317,-105.673,303.68,13,0,9.26,US,1687481996
309,pinehurst,35.1954,-79.4695,297.76,93,100,2.06,US,1687481996
310,bagan serai,5.0108,100.541,303.16,90,96,0.95,MY,1687481997
311,salinopolis,-0.6136,-47.3561,299.15,85,13,5.07,BR,1687481998
312,villiers,-27.0303,28.6006,278.41,84,0,2.47,ZA,1687481998
313,betio village,1.358,172.9211,303.17,73,63,5.91,KI,1687481998
